,ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
31,T-68c8a6,A-7c4956,23-09-2024,23-09-2024 19:00,19,high,34,-1.0,False
32,T-bbe374,A-3ce5b8,15-01-2024,17-01-2024 02:00,50,low,155,-1.0,False
33,T-bccf63,A-82d8a6,29-11-2024,01-12-2024 22:00,70,high,67,3.0,False
34,T-98448a,A-462d45,10-02-2024,10-02-2024 18:00,18,high,99,4.0,False
35,T-f68dde,A-118d55,08-09-2024,08-09-2024 14:00,14,medium,1,4.0,False
36,T-5f84c5,A-1f559b,22-01-2024,24-01-2024 14:00,62,high,28,4.0,False
37,T-9bae5a,A-7cfe77,14-04-2024,14-04-2024 23:00,23,urgent,176,5.0,False
38,T-22842d,A-533452,05-08-2024,05-08-2024 08:00,8,high,66,3.0,False
39,T-f8b58d,A-ee42db,16-01-2023,18-01-2023 09:00,57,urgent,144,-1.0,False
40,T-3a2a66,A-e98302,15-09-2023,17-09-2023 18:00,66,low,150,-1.0,False
41,T-490c4a,A-503d5a,08-08-2023,08-08-2023 09:00,9,urgent,179,-1.0,False
42,T-6cce32,A-659280,12-06-2024,12-06-2024 06:00,6,medium,176,4.0,False
43,T-ec46f5,A-f5641b,19-04-2023,21-04-2023 07:00,55,high,93,-1.0,False
44,T-219077,A-fb186e,09-02-2024,10-02-2024 18:00,42,medium,58,-1.0,False
45,T-6b6fb7,A-716841,11-02-2024,11-02-2024 04:00,4,medium,119,3.0,False
46,T-2e5ba4,A-0be015,05-12-2024,05-12-2024 14:00,14,low,46,4.0,True
47,T-8001a4,A-c9bb3e,08-05-2023,08-05-2023 11:00,11,urgent,53,4.0,True
48,T-a1d9dd,A-fd7ad3,27-04-2024,29-04-2024 16:00,64,urgent,21,3.0,False
49,T-121d6f,A-d5a319,17-09-2024,17-09-2024 17:00,17,low,132,4.0,True
50,T-fd1ba2,A-d27f50,15-12-2023,16-12-2023 16:00,40,high,158,4.0,False
51,T-b6d7ac,A-a0ca4e,29-10-2023,29-10-2023 11:00,11,low,12,5.0,True
52,T-f2b9a5,A-f6b2fb,19-01-2024,20-01-2024 12:00,36,medium,138,5.0,True
53,T-61fc87,A-034368,13-01-2023,15-01-2023 17:00,65,medium,127,3.0,False
54,T-00fa83,A-9208f0,01-04-2023,03-04-2023 22:00,70,low,6,-1.0,False
55,T-358dd5,A-ced9aa,20-08-2023,22-08-2023 09:00,57,medium,131,-1.0,False
56,T-54e843,A-bb3bd4,06-10-2024,06-10-2024 08:00,8,medium,63,3.0,False
57,T-50ad36,A-922109,07-05-2023,08-05-2023 02:00,26,medium,126,-1.0,False
58,T-06bf16,A-4a4c2d,02-08-2023,03-08-2023 06:00,30,medium,44,4.0,False
59,T-f155f0,A-b179bf,06-08-2023,06-08-2023 06:00,6,high,156,-1.0,False
60,T-777753,A-ce66f8,23-01-2023,25-01-2023 21:00,69,low,74,-1.0,False
61,T-857a8d,A-bb3bd4,08-01-2024,10-01-2024 18:00,66,medium,52,-1.0,False
62,T-384dcb,A-bc4d48,18-11-2024,20-11-2024 23:00,71,urgent,6,5.0,True
63,T-970c6c,A-439b2f,12-12-2024,12-12-2024 20:00,20,urgent,123,-1.0,False
64,T-50c7f8,A-a1bbb6,18-01-2024,19-01-2024 12:00,36,urgent,47,-1.0,False
65,T-a528f4,A-b78bf8,15-04-2023,16-04-2023 00:00,24,urgent,7,3.0,False
66,T-7b7a5a,A-1e50e0,02-10-2024,02-10-2024 19:00,19,high,170,5.0,True
67,T-c9a73c,A-b9f5b1,24-10-2024,24-10-2024 18:00,18,urgent,86,4.0,False
68,T-486b6b,A-883b7d,28-01-2023,28-01-2023 22:00,22,urgent,102,5.0,False
71,T-d4142b,A-700ade,25-05-2023,27-05-2023 18:00,66,urgent,69,4.0,False
72,T-6ba215,A-56962b,24-03-2023,26-03-2023 18:00,66,low,73,3.0,False
73,T-e5c785,A-b54c01,07-03-2023,08-03-2023 02:00,26,medium,41,3.0,False
74,T-4f0d98,A-e40f45,31-03-2023,31-03-2023 10:00,10,urgent,19,-1.0,False
75,T-e97da3,A-45ce7a,04-04-2024,05-04-2024 01:00,25,low,81,-1.0,False
76,T-990a0e,A-fa3095,06-11-2024,08-11-2024 00:00,48,high,28,-1.0,False
77,T-ce1dee,A-d792a6,10-10-2024,11-10-2024 08:00,32,low,126,-1.0,False
78,T-b7b797,A-bbc346,11-03-2024,12-03-2024 11:00,35,medium,24,-1.0,False
79,T-847498,A-7cfe77,17-07-2023,19-07-2023 11:00,59,high,36,-1.0,False
80,T-2ef49b,A-cc1d8d,15-09-2023,16-09-2023 21:00,45,medium,33,5.0,False
81,T-fb6fa3,A-0a62f5,26-11-2024,26-11-2024 08:00,8,urgent,57,-1.0,False
82,T-a3f900,A-ae052e,22-07-2023,23-07-2023 05:00,29,medium,126,3.0,False
83,T-b9e7df,A-526d93,10-05-2023,10-05-2023 05:00,5,medium,158,-1.0,False
84,T-0e6db2,A-ccc747,27-06-2024,29-06-2024 12:00,60,urgent,169,5.0,False
85,T-4c2f4b,A-726cfa,02-12-2023,03-12-2023 13:00,37,high,150,-1.0,False
86,T-e7dc15,A-39868b,26-03-2024,26-03-2024 22:00,22,medium,137,-1.0,False
87,T-9876fb,A-2e3bad,18-01-2024,18-01-2024 14:00,14,high,92,-1.0,False
88,T-2c6679,A-0be015,16-07-2024,18-07-2024 03:00,51,medium,73,5.0,False
89,T-03303d,A-87aa7b,29-11-2023,01-12-2023 11:00,59,high,7,-1.0,True
90,T-1ed4c4,A-c62e55,21-03-2024,21-03-2024 15:00,15,urgent,129,5.0,False
91,T-7c6ab3,A-65a46c,23-12-2024,25-12-2024 09:00,57,urgent,96,5.0,False
92,T-67bfcf,A-3932db,01-09-2023,02-09-2023 12:00,36,urgent,144,3.0,False
93,T-088eb6,A-ac14bb,28-03-2024,28-03-2024 21:00,21,high,23,-1.0,False
94,T-b4bec0,A-117171,05-08-2023,06-08-2023 09:00,33,urgent,137,-1.0,False
95,T-03d219,A-ae052e,02-01-2024,04-01-2024 05:00,53,urgent,6,-1.0,False
96,T-7c2d38,A-ad3abd,03-11-2024,03-11-2024 01:00,1,high,35,-1.0,False
97,T-1112c6,A-de24d5,22-09-2023,25-09-2023 00:00,72,urgent,24,3.0,False
98,T-938c6d,A-a8d89d,19-08-2023,21-08-2023 12:00,60,low,132,-1.0,False
100,T-bdc72c,A-34d880,19-11-2024,21-11-2024 14:00,62,medium,106,3.0,False
101,T-7d4777,A-66224b,20-11-2024,21-11-2024 16:00,40,medium,4,3.0,False
102,T-03624c,A-7c6b6b,29-01-2024,31-01-2024 10:00,58,low,68,3.0,False
103,T-3fab11,A-463db0,12-03-2023,14-03-2023 07:00,55,high,123,5.0,False
104,T-37f2cf,A-faa28c,29-05-2024,30-05-2024 17:00,41,urgent,127,5.0,True
105,T-826f63,A-f9cc74,23-07-2023,26-07-2023 00:00,72,low,169,-1.0,False
106,T-f7ec04,A-ad296b,18-10-2023,18-10-2023 16:00,16,urgent,74,3.0,True
107,T-856d24,A-dbc825,05-05-2023,07-05-2023 05:00,53,high,166,-1.0,False
108,T-cbfd6b,A-8b0451,15-03-2023,16-03-2023 01:00,25,medium,137,4.0,False
109,T-66636b,A-37f969,25-07-2023,27-07-2023 22:00,70,medium,116,4.0,False
110,T-be44ea,A-bc4d48,17-09-2024,19-09-2024 01:00,49,medium,19,5.0,False
111,T-fcd539,A-7da956,12-07-2024,12-07-2024 21:00,21,urgent,97,-1.0,False
112,T-433a53,A-297a2d,28-02-2023,28-02-2023 10:00,10,high,160,3.0,False
113,T-5fb9f7,A-0f7d77,06-01-2023,06-01-2023 19:00,19,medium,88,-1.0,False
114,T-ced995,A-76fa4d,24-06-2024,25-06-2024 19:00,43,urgent,92,-1.0,False
115,T-9398db,A-bbe56f,28-06-2024,30-06-2024 00:00,48,low,107,5.0,False
116,T-58a90d,A-cb6cc6,25-11-2024,26-11-2024 02:00,26,high,170,3.0,False
117,T-8833a5,A-a1b80b,02-12-2023,03-12-2023 10:00,34,medium,150,4.0,False
118,T-ef7c6e,A-f446b6,14-05-2024,14-05-2024 01:00,1,high,47,5.0,False
119,T-b8ed8f,A-22f2df,18-01-2023,18-01-2023 11:00,11,high,99,-1.0,False
120,T-97fa24,A-f51f16,16-06-2023,16-06-2023 09:00,9,medium,73,3.0,False
121,T-290bd4,A-ccc747,02-06-2023,02-06-2023 03:00,3,medium,18,-1.0,False
122,T-c45238,A-3f9cc0,03-11-2024,05-11-2024 12:00,60,medium,139,-1.0,False
123,T-a8de52,A-5b4ebb,07-11-2024,07-11-2024 17:00,17,medium,128,5.0,False
125,T-eace7b,A-9c18c4,12-02-2023,13-02-2023 08:00,32,low,156,-1.0,False
126,T-9cb671,A-ce550d,11-06-2023,13-06-2023 07:00,55,high,73,-1.0,False
127,T-ae23c2,A-7e0a10,09-03-2023,10-03-2023 15:00,39,urgent,127,5.0,False
128,T-1cbbd0,A-c1dfe1,28-01-2024,29-01-2024 09:00,33,urgent,38,4.0,False
129,T-78b6e2,A-55f257,11-09-2023,12-09-2023 07:00,31,high,45,5.0,False
130,T-a941f1,A-a09355,20-10-2023,20-10-2023 08:00,8,low,129,5.0,False
131,T-667845,A-82861f,17-09-2024,17-09-2024 11:00,11,urgent,77,3.0,False
132,T-546223,A-ccabf0,04-01-2023,06-01-2023 13:00,61,high,46,4.0,False
133,T-6a2899,A-4437e4,12-09-2023,14-09-2023 03:00,51,medium,136,-1.0,True
134,T-ceb781,A-712533,17-07-2023,17-07-2023 09:00,9,low,108,3.0,False
135,T-365342,A-39868b,04-04-2023,05-04-2023 05:00,29,low,146,5.0,False
136,T-e9e7a7,A-3be56b,17-06-2023,17-06-2023 22:00,22,low,107,3.0,False
137,T-4be927,A-96bbc6,04-11-2023,06-11-2023 14:00,62,low,31,3.0,False
138,T-5b7600,A-bd4513,28-08-2023,29-08-2023 21:00,45,medium,127,5.0,False
139,T-d0e9c2,A-0f6450,27-02-2024,28-02-2024 12:00,36,medium,112,-1.0,False
140,T-62d8ce,A-50f3f7,01-09-2024,02-09-2024 02:00,26,low,165,5.0,False
141,T-2a24d4,A-8145a0,19-08-2023,19-08-2023 17:00,17,urgent,87,3.0,False
142,T-a3d1d0,A-c58f49,24-08-2023,25-08-2023 20:00,44,urgent,54,-1.0,False
143,T-ade86f,A-e3bd71,25-01-2024,25-01-2024 16:00,16,low,96,-1.0,False
144,T-b8e4c5,A-ef84cf,03-11-2023,04-11-2023 10:00,34,low,98,-1.0,False
145,T-ffeda5,A-560d27,12-11-2023,13-11-2023 16:00,40,medium,90,-1.0,False
146,T-e938bb,A-832ec2,24-07-2024,26-07-2024 06:00,54,medium,171,4.0,False
147,T-85af66,A-1f7acb,12-01-2024,12-01-2024 13:00,13,medium,165,-1.0,False
148,T-e13c08,A-de58ca,28-12-2023,28-12-2023 06:00,6,low,23,-1.0,False
149,T-f365f1,A-9779ad,14-10-2024,15-10-2024 19:00,43,medium,161,5.0,False
150,T-dd45ee,A-8ed5dd,09-12-2024,09-12-2024 08:00,8,high,97,3.0,False
151,T-59d842,A-158f4e,05-08-2024,07-08-2024 19:00,67,medium,168,4.0,False
152,T-4a12e6,A-d42431,07-08-2024,08-08-2024 23:00,47,urgent,108,5.0,False
153,T-3bfb51,A-425e76,07-05-2024,07-05-2024 23:00,23,high,60,-1.0,False
154,T-d3391b,A-cb5333,25-11-2023,27-11-2023 17:00,65,low,165,-1.0,False
155,T-ae6671,A-798a3f,16-07-2023,18-07-2023 10:00,58,urgent,112,-1.0,False
156,T-300e16,A-22d9d2,15-10-2024,15-10-2024 04:00,4,urgent,131,3.0,True
157,T-167962,A-e3bd71,09-11-2023,10-11-2023 08:00,32,high,143,3.0,False
158,T-1760ba,A-0b0d6d,03-08-2023,04-08-2023 12:00,36,medium,1,3.0,False
159,T-a231f8,A-76fa4d,19-04-2023,19-04-2023 22:00,22,high,177,4.0,False
160,T-706693,A-b54c01,31-12-2023,01-01-2024 14:00,38,medium,19,3.0,False
161,T-fe8af7,A-90a8c8,13-10-2023,14-10-2023 00:00,24,low,33,3.0,False
162,T-a427d8,A-4ef964,24-03-2023,24-03-2023 05:00,5,high,61,3.0,False
163,T-30b4eb,A-104f1a,30-12-2024,30-12-2024 12:00,12,medium,37,-1.0,False
164,T-abb562,A-700ade,08-09-2023,08-09-2023 12:00,12,low,6,5.0,False
165,T-a819c9,A-139c3b,11-07-2023,13-07-2023 14:00,62,urgent,38,-1.0,False
166,T-36d4a7,A-902ef7,07-07-2024,08-07-2024 13:00,37,urgent,130,-1.0,False
167,T-5c2f82,A-1f559b,13-12-2023,15-12-2023 20:00,68,urgent,143,4.0,False
168,T-701980,A-ced9aa,15-09-2023,15-09-2023 20:00,20,low,125,3.0,False
169,T-5f6c15,A-e43bf7,25-12-2024,25-12-2024 05:00,5,medium,26,3.0,False
170,T-07593c,A-310452,24-11-2023,24-11-2023 11:00,11,medium,145,3.0,False
171,T-6807e7,A-a33200,23-08-2023,23-08-2023 16:00,16,low,118,4.0,False
172,T-027d8f,A-508199,23-03-2024,24-03-2024 20:00,44,urgent,27,-1.0,False
173,T-3798d5,A-5ed98d,28-03-2024,28-03-2024 12:00,12,medium,56,-1.0,False
174,T-763f2d,A-118f1c,22-06-2023,24-06-2023 16:00,64,medium,141,3.0,False
175,T-196fca,A-6843f2,27-04-2024,29-04-2024 13:00,61,high,22,3.0,False
176,T-b2adad,A-54ecc2,29-10-2024,31-10-2024 09:00,57,medium,20,5.0,False
177,T-37b69f,A-bb1eaa,21-05-2024,21-05-2024 01:00,1,urgent,114,4.0,False
178,T-f873ff,A-9123ac,21-04-2023,22-04-2023 16:00,40,low,73,4.0,False
179,T-2a2ecd,A-533452,26-10-2023,27-10-2023 23:00,47,medium,30,-1.0,False
180,T-b29471,A-44dc83,11-06-2023,12-06-2023 16:00,40,high,53,4.0,False
181,T-c32093,A-313be3,27-01-2023,27-01-2023 08:00,8,urgent,41,-1.0,False
182,T-f0f18c,A-ed510f,31-03-2023,02-04-2023 16:00,64,high,137,-1.0,False
183,T-4c7b15,A-443f6f,22-01-2023,24-01-2023 02:00,50,low,126,5.0,False
184,T-ca36f7,A-812c5b,28-02-2023,01-03-2023 14:00,38,high,108,4.0,False
185,T-a1bab0,A-45ce7a,25-04-2023,27-04-2023 02:00,50,medium,141,4.0,False
186,T-5daa6c,A-f44180,28-04-2024,29-04-2024 08:00,32,low,157,5.0,False
187,T-ea0979,A-855a48,30-06-2024,01-07-2024 14:00,38,urgent,177,-1.0,False
188,T-308071,A-f51f16,16-04-2023,17-04-2023 11:00,35,high,10,3.0,False
189,T-ed091b,A-09316c,12-08-2023,14-08-2023 10:00,58,medium,129,4.0,False
190,T-fd14d8,A-751c58,21-06-2023,23-06-2023 01:00,49,medium,178,-1.0,False
191,T-3a3a53,A-139c3b,18-12-2024,19-12-2024 02:00,26,medium,89,5.0,False
192,T-35ae60,A-7641d3,17-12-2023,19-12-2023 22:00,70,medium,174,-1.0,False
193,T-93f5f0,A-3c1a3f,04-08-2023,04-08-2023 05:00,5,low,20,-1.0,False
194,T-0a835d,A-0aaf6e,06-11-2023,08-11-2023 08:00,56,low,14,-1.0,False
195,T-a79931,A-b179bf,23-08-2023,25-08-2023 05:00,53,low,94,4.0,False
196,T-54b348,A-50f3f7,31-05-2023,02-06-2023 07:00,55,low,41,-1.0,False
197,T-ee77ae,A-8ed5dd,17-05-2024,19-05-2024 03:00,51,low,87,-1.0,False
198,T-fb798a,A-8bde0c,07-11-2024,07-11-2024 09:00,9,medium,64,-1.0,False
199,T-b0b086,A-bb3bd4,18-02-2023,19-02-2023 11:00,35,medium,65,5.0,False
200,T-6de710,A-7da956,04-02-2024,05-02-2024 18:00,42,low,55,-1.0,False
201,T-d319e4,A-eb7c38,04-03-2024,05-03-2024 01:00,25,low,46,-1.0,False
202,T-041287,A-34ea2f,15-07-2024,17-07-2024 22:00,70,urgent,19,4.0,False
203,T-496c6b,A-1e1b80,23-08-2024,25-08-2024 21:00,69,low,150,3.0,False
204,T-d92e2e,A-712426,18-07-2024,20-07-2024 19:00,67,high,67,4.0,False
205,T-6f8270,A-dbc825,11-11-2023,14-11-2023 00:00,72,high,118,3.0,False
206,T-2a21f8,A-1f7acb,30-05-2024,30-05-2024 08:00,8,medium,92,4.0,False
207,T-08e86b,A-9f9299,05-10-2023,05-10-2023 03:00,3,urgent,160,-1.0,False
208,T-bdbc42,A-31ab9a,09-09-2024,11-09-2024 14:00,62,urgent,90,4.0,False
209,T-996921,A-751bd4,13-11-2024,14-11-2024 17:00,41,urgent,124,5.0,False
212,T-51307e,A-b78bf8,15-09-2023,16-09-2023 16:00,40,low,93,5.0,False
213,T-e545b2,A-dfbd31,09-01-2024,10-01-2024 21:00,45,low,158,5.0,False
214,T-5a402d,A-e7beab,25-04-2023,27-04-2023 15:00,63,low,138,3.0,False
215,T-287b04,A-92a333,07-05-2023,08-05-2023 01:00,25,low,11,-1.0,False
216,T-2c61f3,A-4bfa33,29-06-2024,29-06-2024 16:00,16,high,180,3.0,False
217,T-c2b413,A-90a8c8,31-03-2024,02-04-2024 22:00,70,urgent,13,3.0,False
218,T-a7489c,A-7e0a10,24-01-2024,26-01-2024 20:00,68,high,72,-1.0,False
219,T-011d5c,A-a09355,13-05-2023,15-05-2023 15:00,63,urgent,34,3.0,False
220,T-af4249,A-dec005,02-10-2023,04-10-2023 18:00,66,low,180,3.0,False
221,T-2904e8,A-692f18,11-11-2024,11-11-2024 20:00,20,low,144,-1.0,False
222,T-a9333e,A-5ed98d,06-09-2024,09-09-2024 00:00,72,medium,77,-1.0,False
223,T-4d5bca,A-970c97,29-01-2023,31-01-2023 13:00,61,urgent,139,5.0,False
224,T-f0d824,A-b9f5b1,01-12-2023,02-12-2023 04:00,28,urgent,165,3.0,False
225,T-05b5f6,A-cc1d8d,05-03-2024,06-03-2024 16:00,40,high,137,-1.0,False
226,T-246510,A-bb3bd4,29-09-2024,30-09-2024 17:00,41,high,160,5.0,False
227,T-e7f66c,A-241e75,25-04-2023,27-04-2023 04:00,52,low,136,-1.0,False
228,T-dcb2e1,A-34d880,10-10-2023,12-10-2023 13:00,61,medium,78,3.0,False
229,T-0e3932,A-118d55,09-12-2024,09-12-2024 11:00,11,medium,32,4.0,False
230,T-52fd00,A-0532a9,29-01-2023,29-01-2023 07:00,7,medium,49,-1.0,False
232,T-5a765e,A-3cc791,27-02-2024,29-02-2024 23:00,71,high,38,5.0,False
234,T-30ab22,A-65aeb5,01-09-2023,03-09-2023 05:00,53,high,146,5.0,False
235,T-a1ebca,A-712426,10-12-2024,11-12-2024 08:00,32,medium,43,4.0,False
236,T-d9e588,A-bbe56f,01-08-2024,01-08-2024 07:00,7,low,117,3.0,False
237,T-765765,A-4437e4,13-08-2023,14-08-2023 20:00,44,high,120,-1.0,False
238,T-848076,A-c42f1f,31-10-2023,31-10-2023 08:00,8,low,105,3.0,False
239,T-00644f,A-8adedc,22-05-2023,24-05-2023 18:00,66,medium,62,-1.0,False
240,T-ec469a,A-e4bf56,10-07-2023,12-07-2023 04:00,52,urgent,72,5.0,False
241,T-d1c41b,A-98a59a,22-03-2023,23-03-2023 00:00,24,high,68,-1.0,False
242,T-090534,A-cc8c8f,30-11-2023,30-11-2023 07:00,7,urgent,143,4.0,False
243,T-367cc3,A-b7b7b7,31-08-2024,31-08-2024 01:00,1,medium,159,5.0,False
244,T-f86b35,A-139c3b,13-09-2024,13-09-2024 11:00,11,urgent,108,-1.0,False
245,T-e23a37,A-855a48,11-05-2023,11-05-2023 13:00,13,high,55,-1.0,False
246,T-776916,A-0a282f,12-06-2023,14-06-2023 17:00,65,medium,12,5.0,False
247,T-0854f6,A-310452,31-01-2024,02-02-2024 19:00,67,urgent,178,3.0,False
248,T-2c34c5,A-034368,29-08-2023,31-08-2023 17:00,65,low,34,5.0,False
249,T-270c25,A-81edc3,19-12-2023,21-12-2023 21:00,69,high,56,-1.0,False
250,T-f3e69b,A-b7ef83,03-10-2024,05-10-2024 19:00,67,medium,70,-1.0,False
251,T-2987d9,A-50f3f7,17-04-2023,18-04-2023 06:00,30,urgent,155,5.0,True
252,T-da63ee,A-149a69,30-01-2023,31-01-2023 09:00,33,high,79,5.0,False
253,T-44b600,A-eafc6e,14-07-2023,16-07-2023 16:00,64,medium,136,-1.0,False
254,T-4d0d5b,A-5a215a,06-12-2024,06-12-2024 12:00,12,urgent,126,4.0,False
255,T-7cca37,A-dbc825,02-10-2024,03-10-2024 16:00,40,medium,128,5.0,True
257,T-27d61d,A-c7e58b,25-01-2024,25-01-2024 13:00,13,medium,171,4.0,False
258,T-86e757,A-82d8a6,29-10-2023,31-10-2023 03:00,51,high,129,-1.0,False
259,T-13e2c4,A-92a3af,17-03-2024,19-03-2024 23:00,71,medium,29,5.0,False
260,T-df9759,A-b7724f,30-12-2024,30-12-2024 15:00,15,medium,86,3.0,False
261,T-c556c6,A-7c5768,21-11-2024,23-11-2024 02:00,50,high,39,4.0,False
262,T-e57828,A-883b7d,16-04-2023,17-04-2023 19:00,43,high,52,-1.0,False
263,T-fc25d0,A-fd7ad3,17-08-2024,19-08-2024 13:00,61,high,138,-1.0,False
264,T-743f15,A-d49cc5,21-12-2024,23-12-2024 16:00,64,urgent,2,-1.0,False
265,T-9bbea1,A-b54c01,06-02-2023,08-02-2023 04:00,52,low,172,-1.0,False
266,T-9bf64e,A-3ce5b8,07-10-2023,08-10-2023 05:00,29,high,87,-1.0,False
267,T-7cefd9,A-7920cc,31-03-2023,02-04-2023 15:00,63,medium,146,5.0,False
268,T-9717fc,A-cea1f0,11-05-2024,13-05-2024 09:00,57,medium,145,-1.0,False
269,T-b43464,A-08e34e,15-07-2024,17-07-2024 20:00,68,high,67,3.0,False
270,T-29abed,A-cd458b,28-03-2024,30-03-2024 02:00,50,urgent,39,5.0,False
271,T-4e24d4,A-b3fe05,29-05-2023,31-05-2023 18:00,66,urgent,75,-1.0,False
272,T-990f20,A-6a7c9d,15-08-2024,16-08-2024 04:00,28,medium,42,3.0,False
273,T-618d10,A-afa505,25-09-2024,25-09-2024 19:00,19,urgent,130,-1.0,False
274,T-9736d7,A-d4e0d4,12-08-2023,12-08-2023 19:00,19,medium,66,-1.0,False
275,T-7a48cd,A-4c38bc,27-07-2024,29-07-2024 18:00,66,medium,37,4.0,False
276,T-8f1182,A-fa3095,25-05-2023,27-05-2023 02:00,50,high,98,-1.0,False
277,T-926ee8,A-5a92e7,17-06-2023,19-06-2023 20:00,68,high,9,5.0,False
278,T-21c5ae,A-9123ac,18-11-2024,19-11-2024 13:00,37,urgent,77,4.0,False
279,T-7d1efb,A-eb2fdc,18-12-2023,19-12-2023 22:00,46,medium,16,-1.0,False
280,T-bad86e,A-7c6b6b,10-09-2024,12-09-2024 20:00,68,high,144,-1.0,False
281,T-818ae1,A-6965e1,27-07-2024,29-07-2024 09:00,57,low,55,-1.0,False
282,T-e1cf37,A-4c38bc,13-04-2023,15-04-2023 20:00,68,high,72,3.0,False
283,T-104009,A-fd7ad3,21-08-2023,23-08-2023 07:00,55,high,82,-1.0,False
284,T-2b7d40,A-474ad4,23-04-2023,25-04-2023 00:00,48,medium,65,-1.0,True
285,T-b4f3d9,A-378b99,03-08-2023,03-08-2023 05:00,5,low,101,5.0,False
286,T-d6ab6c,A-66224b,05-12-2023,05-12-2023 06:00,6,urgent,58,3.0,False
287,T-62b1dd,A-a45270,27-12-2024,29-12-2024 19:00,67,medium,112,4.0,False
288,T-cd4a87,A-798a3f,08-04-2023,09-04-2023 21:00,45,urgent,38,3.0,False
289,T-3aa54d,A-db5e9e,25-06-2024,27-06-2024 16:00,64,low,177,5.0,False
290,T-640bda,A-96bbc6,07-01-2023,08-01-2023 04:00,28,medium,112,3.0,False
291,T-8e435c,A-e1b9cd,16-06-2023,17-06-2023 11:00,35,high,115,3.0,False
292,T-32b901,A-67be94,14-11-2024,16-11-2024 01:00,49,high,1,-1.0,False
293,T-867910,A-3793ee,14-06-2024,16-06-2024 22:00,70,high,11,4.0,False
294,T-316da7,A-1ac5e0,15-01-2024,16-01-2024 11:00,35,high,44,4.0,False
295,T-3517a8,A-702032,28-07-2023,30-07-2023 04:00,52,medium,43,-1.0,False
296,T-86c6c6,A-8adedc,05-08-2023,07-08-2023 11:00,59,high,22,4.0,False
297,T-565965,A-3b5cd1,11-01-2023,12-01-2023 17:00,41,urgent,42,4.0,False
298,T-096b66,A-313be3,27-06-2023,27-06-2023 06:00,6,urgent,69,-1.0,False
299,T-d90ef7,A-e2cd1b,17-08-2023,19-08-2023 19:00,67,medium,101,4.0,False
